,Code,nt,ns,nr,nC,nC',nHeNe,nD,nd,ne,nF,nF',ng,nh,ni,Vd,Ve,nFC,nF'c',A0,A1,A2,A3,A4,A5,PdC,Ped,PgF,P'dC',P'ed,P'gF',dPFe,dPgF,RC,RA,DW,DA,alpha1,alpha2,HK,FA,Density,Frequency,Price
H-ZK8,614551,1.60192,1.60484,1.60879,1.61068,1.61121,1.61171,1.61395,1.61405,1.6167,1.62182,1.62246,1.62796,1.63309,1.64189,55.12,54.84,0.011141,0.011246,2.56E+00,-7.66E-03,1.76E-02,-2.05E-04,6.81E-05,-3.07E-06,0.3024,0.2379,0.551,0.2525,0.2356,0.489,0,-0.0008,1,3,1,6,86,98,600,173,3.58,B,21
H-ZK9B,620603,1.60868,1.61164,1.61547,1.61727,1.61777,1.61824,1.62032,1.62041,1.62286,1.62755,1.62813,1.63312,1.63775,1.64563,60.34,60.1,0.010281,0.010363,2.58E+00,-9.59E-03,1.72E-02,-5.08E-04,1.01E-04,-4.80E-06,0.3054,0.2383,0.5417,0.2547,0.2364,0.4814,-0.0006,-0.0013,1,3,3,4,62,77,574,145,3.58,MA,8
H-ZK10,622567,1.60996,1.61294,1.61689,1.61877,1.61929,1.61979,1.622,1.6221,1.6247,1.62974,1.63037,1.63575,1.64075,1.64922,56.71,56.38,0.01097,0.01108,2.58E+00,-8.73E-03,1.76E-02,-3.08E-04,8.88E-05,-4.74E-06,0.3034,0.2375,0.5479,0.2531,0.2351,0.4856,0.0005,-0.0012,1,3,1,3,65,75,598,139,3.63,B,14
H-ZK10L,623569,,,1.6176,1.61949,1.62001,1.62051,1.6227,1.6228,1.62541,1.63043,1.63106,1.63644,1.64143,1.64999,56.91,56.62,0.010943,0.011045,2.60E+00,-1.77E-02,1.11E-02,1.32E-03,-1.08E-04,4.55E-06,0.3025,0.2385,0.5492,0.2526,0.2363,0.4871,0.0001,0.0004,1,3,1,3,65,75,598,134,3.63,MA,14
H-ZK11,639555,1.62582,1.62895,1.63309,1.63505,1.63561,1.63613,1.63844,1.63854,1.64129,1.64657,1.64723,1.6529,1.65819,1.66735,55.45,55.18,0.011516,0.011621,2.64E+00,-1.02E-02,1.70E-02,2.14E-04,7.44E-06,4.36E-07,0.303,0.2384,0.5497,0.2525,0.2362,0.4879,-0.0007,-0.0016,1,3,2,4,69,82,512,165,3.69,MA,8
H-ZK14,603606,1.59181,1.59466,1.59834,1.60007,1.60056,1.60101,1.60302,1.60311,1.60548,1.61003,1.61059,1.61537,1.61982,1.62738,60.6,60.35,0.009952,0.010033,2.53E+00,-1.02E-02,1.43E-02,2.53E-04,-1.30E-05,1.10E-06,0.3051,0.2385,0.5368,0.2544,0.2366,0.4766,-0.0002,-0.0057,3,3,2,4,61,75,581,135,3.44,MA,13
H-ZK20,617539,1.60485,1.60779,1.61181,1.61375,1.6143,1.61481,1.6171,1.6172,1.61993,1.6252,1.62586,1.63154,1.63685,1.64594,53.91,53.62,0.011448,0.011561,2.56E+00,-6.64E-03,1.91E-02,-5.21E-04,1.18E-04,-5.72E-06,0.3014,0.2385,0.5538,0.2508,0.2361,0.4913,0.0001,-0.0001,1,3,1,6,78,90,515,104,3.66,A,15
H-ZK21,623581,1.61095,1.61396,1.61788,1.61973,1.62025,1.62074,1.6229,1.62299,1.62555,1.63045,1.63106,1.63626,1.64109,1.64933,58.12,57.87,0.010719,0.010809,2.59E+00,-1.03E-02,1.59E-02,1.59E-04,8.98E-06,-9.77E-08,0.3046,0.2384,0.542,0.254,0.2364,0.4811,-0.001,-0.0047,1,3,2,4,62,75,581,134,3.56,MA,11
H-ZK50,607567,1.59559,1.59848,1.60231,1.60414,1.60465,1.60513,1.60729,1.60738,1.60994,1.61486,1.61547,1.62072,1.62558,1.63393,56.65,56.38,0.010721,0.010819,2.54E+00,-9.72E-03,1.44E-02,5.95E-04,-4.89E-05,2.81E-06,0.3022,0.2388,0.5466,0.2523,0.2366,0.4853,0.0002,-0.0026,1,3,1,5,68,77,511,105,3.54,A,15
H-LaK1,660574,1.64671,1.64986,1.65403,1.656,1.65656,1.65708,1.6594,1.6595,1.66224,1.6675,1.66816,1.67376,1.67896,1.68783,57.35,57.3,0.0115,0.011558,2.70E+00,-1.00E-02,1.81E-02,-2.16E-05,3.82E-05,-1.58E-06,0.3042,0.2378,0.5439,0.2543,0.2366,0.4841,-0.0004,-0.0041,1,3,3,6,77,87,560,176,3.94,B,38
H-LaK2A,692545,1.67813,1.68155,1.6861,1.68827,1.68888,1.68945,1.692,1.69211,1.69514,1.70096,1.70168,1.7079,1.71368,1.72358,54.54,54.29,0.01269,0.012804,2.81E+00,-1.10E-02,1.98E-02,1.43E-04,2.39E-05,-7.83E-07,0.3026,0.2388,0.5469,0.2523,0.2366,0.4858,-0.0013,-0.0059,1,3,3,3,80,97,535,159,3.94,C,31
H-LaK3,747510,1.73074,1.73471,1.73999,1.7425,1.7432,1.74386,1.7468,1.74693,1.75042,1.75716,1.75799,1.76518,1.77193,1.78336,50.95,50.72,0.01466,0.014794,2.98E+00,-1.23E-02,2.56E-02,-5.71E-04,1.48E-04,-7.55E-06,0.3023,0.2381,0.5471,0.2521,0.236,0.486,-0.0021,-0.0119,1,3,1,3,60,74,672,110,4.08,B,73
H-LaK4L,640602,1.62754,1.6308,1.63486,1.63674,1.63726,1.63775,1.6399,1.64,1.64254,1.64737,1.64797,1.65308,1.6578,1.66581,60.2,60,0.010631,0.010709,2.65E+00,-1.38E-02,1.57E-02,9.83E-05,2.21E-05,-1.07E-06,0.3068,0.2387,0.537,0.2559,0.2369,0.4771,-0.0023,-0.0062,1,3,4,4,60,78,634,129,2.99,A,34
H-LaK5A,678555,1.66434,1.66769,1.6721,1.6742,1.67479,1.67534,1.67779,1.6779,1.68081,1.68641,1.6871,1.69307,1.69862,1.7081,55.52,55.26,0.012211,0.012319,2.76E+00,-1.11E-02,1.90E-02,5.14E-05,3.64E-05,-1.56E-06,0.303,0.2383,0.5456,0.2525,0.2362,0.4848,-0.0008,-0.0056,1,3,3,6,80,94,576,174,3.8,MA,40
H-LaK6A,694534,1.67883,1.68255,1.68732,1.68955,1.69018,1.69077,1.69339,1.6935,1.6966,1.70256,1.7033,1.70969,1.71563,1.72583,53.38,53.16,0.012992,0.013105,2.81E+00,-1.48E-02,1.90E-02,3.37E-04,1.36E-05,-5.86E-07,0.3041,0.2384,0.5484,0.2536,0.2363,0.4872,-0.003,-0.0065,1,3,2,6,56,73,683,113,3.59,A,45
H-LaK7A,713538,1.69813,1.70187,1.70669,1.70898,1.70962,1.71022,1.71289,1.713,1.71616,1.72222,1.72298,1.7294,1.73541,1.74569,53.83,53.61,0.013245,0.013359,2.88E+00,-1.48E-02,1.89E-02,7.47E-04,-6.24E-05,3.88E-06,0.3041,0.2384,0.5421,0.2535,0.2363,0.4806,-0.0028,-0.0119,1,3,1,3,55,73,703,104,3.74,MA,32
H-LaK8A,720503,1.7041,1.70806,1.71323,1.71568,1.71636,1.717,1.71987,1.72,1.72341,1.72998,1.7308,1.73789,1.74453,1.75603,50.34,50.1,0.014302,0.014439,2.90E+00,-1.44E-02,2.22E-02,1.05E-04,5.17E-05,-1.90E-06,0.302,0.2384,0.5529,0.2521,0.2361,0.4908,-0.0028,-0.0071,1,3,1,3,53,72,607,105,3.77,A,44
H-LaK10,651559,1.63825,1.6414,1.6456,1.6476,1.64816,1.64869,1.65103,1.65113,1.65391,1.65925,1.65992,1.66562,1.67094,1.68001,55.89,55.62,0.01165,0.011757,2.68E+00,-9.28E-03,1.89E-02,-2.39E-04,7.29E-05,-3.36E-06,0.3027,0.2383,0.5472,0.2524,0.2361,0.4853,-0.0008,-0.0033,1,3,1,6,71,84,634,162,3.73,A,34
H-LaK11,665546,1.65128,1.65453,1.65886,1.66093,1.66153,1.66207,1.66451,1.66461,1.6675,1.6731,1.6738,1.67982,1.68542,1.69504,54.61,54.4,0.01217,0.01227,2.72E+00,-9.53E-03,1.96E-02,-2.37E-04,8.48E-05,-4.10E-06,0.3021,0.2375,0.5518,0.2511,0.2355,0.4906,-0.0043,-0.0009,1,3,1,6,72,88,517,,4.02,B,33
H-LaK12,697562,1.68269,1.68626,1.69086,1.69301,1.69362,1.69418,1.69669,1.6968,1.69976,1.70542,1.70612,1.71212,1.71768,1.72716,56.18,55.96,0.012404,0.012504,2.83E+00,-1.36E-02,1.90E-02,2.05E-04,8.81E-06,-2.16E-08,0.3052,0.2385,0.54,0.2545,0.2366,0.4797,-0.0027,-0.01,1,6,1,3,64,80,686,118,3.71,A,61
H-LaK50A,652584,1.6388,1.6421,1.64625,1.64821,1.64875,1.64925,1.6515,1.6516,1.65426,1.65936,1.66,1.66539,1.67039,1.67886,58.4,58.15,0.011157,0.011251,2.68E+00,-1.37E-02,1.57E-02,3.83E-04,-8.02E-06,1.72E-07,0.3038,0.2384,0.5405,0.2533,0.2364,0.4791,-0.0007,-0.0057,1,3,3,6,63,82,618,135,3.5,B,38
H-LaK51A,697555,1.68251,1.68611,1.69078,1.69297,1.69358,1.69415,1.69668,1.6968,1.69979,1.70552,1.70624,1.71235,1.71803,1.72774,55.53,55.31,0.012549,0.012653,2.82E+00,-1.26E-02,2.12E-02,-4.46E-04,1.04E-04,-4.73E-06,0.3052,0.2383,0.5446,0.2545,0.2363,0.4832,-0.0027,-0.0065,1,3,1,3,63,81,695,111,3.56,MA,32
H-LaK52,729547,1.71409,1.71785,1.72277,1.7251,1.72575,1.72635,1.72904,1.72916,1.73234,1.73844,1.7392,1.7457,1.75176,1.76209,54.68,54.45,0.013334,0.01345,2.93E+00,-1.22E-02,2.39E-02,-7.31E-04,1.47E-04,-6.92E-06,0.304,0.2385,0.5445,0.2535,0.2364,0.4833,-0.0023,-0.0081,1,3,1,3,56,72,765,108,4.02,MA,42
H-LaK53A,755523,1.73893,1.74291,1.74814,1.75063,1.75132,1.75197,1.75487,1.755,1.75844,1.76506,1.76588,1.77297,1.77957,1.79088,52.32,52.09,0.01443,0.014561,3.01E+00,-1.37E-02,2.41E-02,-1.68E-04,8.27E-05,-3.78E-06,0.303,0.2383,0.5478,0.2526,0.2362,0.4865,-0.0024,-0.0088,1,3,1,6,61,72,729,114,4.39,MA,47
H-LaK54,734515,1.71817,1.72208,1.72723,1.72968,1.73037,1.73101,1.73387,1.734,1.73739,1.74394,1.74476,1.75177,1.7583,1.76938,51.49,51.25,0.014256,0.014388,2.94E+00,-1.27E-02,2.44E-02,-4.90E-04,1.39E-04,-7.39E-06,0.3026,0.2378,0.5489,0.2523,0.2356,0.4868,-0.0021,-0.0091,1,3,1,3,51,74,770,61,4.01,A,48
H-LaK59A,691548,1.67704,1.68043,1.685,1.68716,1.68777,1.68834,1.69089,1.691,1.69401,1.69976,1.70048,1.70666,1.7124,1.72224,54.82,54.6,0.012606,0.012711,2.80E+00,-8.73E-03,2.30E-02,-8.50E-04,1.53E-04,-6.92E-06,0.3046,0.2388,0.5471,0.2541,0.2368,0.486,-0.0036,-0.0052,1,5,3,4,82,96,537,161,3.94,B,43
H-LaK61,741526,1.72533,1.72921,1.73431,1.73673,1.73741,1.73804,1.74087,1.741,1.74435,1.7508,1.75161,1.75849,1.7649,1.77587,52.64,52.41,0.014078,0.014203,2.97E+00,-1.37E-02,2.25E-02,1.30E-04,3.52E-05,-1.35E-06,0.3034,0.238,0.5464,0.2528,0.2359,0.4845,-0.0026,-0.0096,1,3,1,6,58,72,723,100,4.1,A,59
H-LaK67,670517,,,1.66389,1.6661,1.66671,1.6673,1.66988,1.67,1.67308,1.67905,1.67979,1.68622,1.69224,1.70269,51.7,51.5,0.01295,0.01308,2.74E+00,-1.63E-02,1.59E-02,1.08E-03,-7.71E-05,4.03E-06,0.3012,0.2378,0.5537,0.2515,0.2355,0.4916,-0.0004,-0.004,1,3,1,6,70,84,615,157,3.73,A,48
QF1,548459,,,1.54255,1.54454,1.5451,1.54563,1.548,1.54811,1.55094,1.55649,1.55719,1.56329,1.56911,1.57931,45.87,45.57,0.01195,0.01209,2.35E+00,-8.69E-03,1.61E-02,1.87E-04,4.21E-05,-1.32E-06,0.2983,0.237,0.5689,0.2483,0.2342,0.5041,0.0001,0.0013,3,1,1,1,77,93,342,83,2.94,C,24
QF3,575413,,,1.5686,1.5709,1.57155,1.57216,1.5749,1.57502,1.57833,1.58482,1.58564,1.59281,1.59968,1.61197,41.31,41.03,0.01392,0.014097,2.42E+00,-7.97E-03,1.91E-02,3.55E-04,1.39E-05,1.71E-06,0.2965,0.2374,0.5743,0.2465,0.2344,0.5083,-0.0009,-0.001,3,1,1,1,93,114,410,,3.18,C,20
QF5,582420,,,1.57574,1.57804,1.57869,1.57929,1.58203,1.58215,1.58544,1.59189,1.59271,1.59982,1.60664,1.61878,42.03,41.77,0.013852,0.014017,2.44E+00,-6.80E-03,2.14E-02,-3.85E-04,1.22E-04,-4.22E-06,0.2968,0.2374,0.5727,0.2468,0.2346,0.5077,-0.001,-0.0014,2,1,1,1,83,101,416,89,3.22,C,23
QF6,532488,,,1.52661,1.52845,1.52897,1.52945,1.53162,1.53172,1.53431,1.53935,1.53999,1.54546,1.55064,1.55972,48.76,48.48,0.010905,0.011022,2.30E+00,-8.38E-03,1.44E-02,3.34E-04,-4.47E-06,1.33E-06,0.2999,0.2378,0.5603,0.2498,0.2353,0.4968,-0.0008,-0.0024,3,1,2,1,82,98,400,82,2.78,C,24
QF8,541472,,,1.53536,1.53729,1.53783,1.53834,1.54062,1.54072,1.54344,1.54875,1.54941,1.55519,1.56068,1.57033,47.2,46.92,0.011457,0.011583,2.33E+00,-7.87E-03,1.58E-02,1.98E-04,1.80E-05,3.65E-07,0.2993,0.2377,0.5628,0.2493,0.2351,0.499,-0.0009,-0.0025,3,1,2,1,85,98,397,83,2.86,C,32
QF50,581409,1.56671,1.57013,1.57489,1.57723,1.57789,1.57851,1.58131,1.58144,1.58481,1.59145,1.59229,1.59963,1.60666,1.61923,40.89,40.61,0.014221,0.014401,2.44E+00,-7.76E-03,2.01E-02,1.57E-04,5.33E-05,-6.99E-07,0.2959,0.2373,0.5749,0.2462,0.2343,0.5094,-0.0005,-0.0011,3,1,1,1,90,111,407,89,3.23,C,18
H-QF1,548458,1.53538,1.53846,1.54258,1.54458,1.54514,1.54567,1.54803,1.54814,1.55098,1.55654,1.55724,1.56334,1.56915,1.57955,45.82,45.52,0.011963,0.012104,2.35E+00,-9.53E-03,1.49E-02,6.14E-04,-3.07E-05,3.26E-06,0.2976,0.2374,0.5684,0.2479,0.2346,0.504,0.0002,0.0008,1,1,1,1,93,110,462,99,2.58,A,27
H-QF3,575415,1.5605,1.56392,1.56861,1.5709,1.57155,1.57216,1.57488,1.57501,1.57829,1.58476,1.58558,1.59275,1.59968,1.61227,41.5,41.22,0.013854,0.014028,2.43E+00,-8.62E-03,1.93E-02,2.10E-04,3.30E-05,1.51E-06,0.2964,0.2371,0.5768,0.2464,0.2342,0.5112,0,0.0018,1,1,1,1,90,103,546,100,2.6,A,23
H-QF6A,532488,1.51993,1.52281,1.52663,1.52847,1.52898,1.52946,1.53162,1.53172,1.53431,1.53935,1.53999,1.54552,1.55081,1.56027,48.84,48.53,0.010887,0.01101,2.30E+00,-8.65E-03,1.47E-02,1.47E-04,2.50E-05,4.80E-07,0.2985,0.2379,0.5666,0.2489,0.2352,0.5022,0,0.0041,1,1,1,1,86,95,521,94,2.52,A,23
H-QF8,541472,1.5284,1.53137,1.53537,1.5373,1.53784,1.53835,1.54062,1.54072,1.54344,1.54875,1.54942,1.55525,1.56081,1.57067,47.23,46.94,0.011449,0.011577,2.33E+00,-7.67E-03,1.71E-02,-3.06E-04,9.60E-05,-3.46E-06,0.2987,0.2376,0.5678,0.2488,0.2349,0.5037,0,0.0025,3,1,3,2,96,113,487,84,2.54,B,26
H-QF14,596392,1.57979,1.58346,1.58854,1.59103,1.59173,1.59239,1.59538,1.59551,1.59911,1.60621,1.60712,1.61502,1.62269,1.63671,39.22,38.95,0.015183,0.015383,2.48E+00,-9.32E-03,2.05E-02,5.26E-04,-2.40E-06,4.03E-06,0.2951,0.237,0.5803,0.2455,0.234,0.514,-0.0004,0.0014,2,1,1,3,78,92,548,95,2.62,A,27
H-QF50A,581408,1.56652,1.57004,1.57486,1.57722,1.57788,1.5785,1.58131,1.58144,1.58482,1.59149,1.59233,1.59974,1.60689,1.61987,40.75,40.47,0.01427,0.01445,2.44E+00,-9.19E-03,1.96E-02,2.77E-04,3.30E-05,1.34E-06,0.2957,0.2369,0.5781,0.2464,0.2339,0.5128,0.0001,0.0018,3,1,2,1,85,104,492,108,2.61,A,19
H-QF56,567428,1.55345,1.55672,1.5612,1.56339,1.56401,1.56459,1.5672,1.56732,1.57046,1.57665,1.57743,1.58426,1.59084,1.60273,42.81,42.54,0.013252,0.013411,2.40E+00,-8.58E-03,1.77E-02,4.38E-04,-1.42E-06,2.74E-06,0.2966,0.2369,0.5743,0.2466,0.234,0.5089,0.0009,0.0015,3,1,1,1,94,111,502,121,2.62,B,24
F1,603380,,,1.59615,1.59874,1.59947,1.60016,1.60328,1.60342,1.60718,1.61461,1.61556,1.6238,1.63174,1.64602,38.01,37.75,0.015873,0.016084,2.51E+00,-7.87E-03,2.16E-02,5.99E-04,-9.52E-07,2.90E-06,0.2947,0.2372,0.5788,0.2452,0.2341,0.5125,-0.0006,-0.0022,3,1,2,1,92,114,445,,3.43,A,15
F2,613370,1.59614,1.59995,1.60537,1.60805,1.60882,1.60953,1.61278,1.61293,1.61686,1.62463,1.62562,1.63427,1.64262,1.65768,36.96,36.7,0.016582,0.016806,2.53E+00,-7.74E-03,2.32E-02,4.09E-04,3.78E-05,1.03E-06,0.2942,0.237,0.5814,0.2448,0.2339,0.5147,-0.0006,-0.0014,3,2,2,1,101,121,440,94,3.5,A,13
F3,617366,1.59954,1.60341,1.60891,1.61164,1.61242,1.61315,1.61644,1.61659,1.62058,1.62848,1.62949,1.63826,1.64673,1.66202,36.61,36.35,0.01684,0.017071,2.54E+00,-8.35E-03,2.28E-02,6.70E-04,1.04E-06,3.03E-06,0.2938,0.237,0.5808,0.2444,0.2338,0.5137,-0.0004,-0.0026,3,1,2,1,85,100,430,89,3.57,A,10
F4,620364,1.60284,1.60673,1.61228,1.61504,1.61582,1.61656,1.6199,1.62005,1.62408,1.6321,1.63312,1.64205,1.65067,1.66626,36.35,36.09,0.01706,0.017291,2.55E+00,-8.05E-03,2.34E-02,5.60E-04,2.36E-05,1.88E-06,0.2938,0.2365,0.5837,0.2443,0.2334,0.517,0,0,3,2,1,2,91,114,381,86,3.57,B,10
F5,624359,1.60682,1.6108,1.61645,1.61925,1.62005,1.6208,1.6242,1.62435,1.62847,1.63663,1.63768,1.64673,1.6555,1.67131,35.92,35.65,0.01738,0.017631,2.57E+00,-9.14E-03,2.26E-02,1.00E-03,-3.66E-05,4.93E-06,0.2934,0.2371,0.5812,0.2439,0.2337,0.5133,-0.0005,-0.0034,2,1,1,1,84,100,380,81,3.64,B,10
F6,625356,1.60732,1.6113,1.61697,1.61981,1.62061,1.62137,1.6248,1.62495,1.62911,1.63738,1.63843,1.64764,1.65656,1.67274,35.57,35.31,0.01757,0.017818,2.57E+00,-8.36E-03,2.34E-02,8.29E-04,-1.18E-05,4.10E-06,0.2929,0.2368,0.584,0.2437,0.2335,0.5169,0.0005,-0.0011,3,3,1,3,98,122,399,88,3.6,C,10
F7,636354,1.61825,1.62234,1.62818,1.63108,1.63191,1.63269,1.63621,1.63636,1.64062,1.64908,1.65015,1.65956,1.66869,1.68527,35.35,35.11,0.018001,0.018244,2.60E+00,-8.47E-03,2.47E-02,7.45E-04,-4.85E-06,4.26E-06,0.2933,0.2367,0.5822,0.2439,0.2335,0.5158,-0.0003,-0.0033,2,2,1,2,85,97,382,97,3.73,C,15
F13,626357,1.60823,1.61221,1.61791,1.62074,1.62154,1.6223,1.62573,1.62588,1.63004,1.63827,1.63932,1.64851,1.65742,1.67355,35.7,35.45,0.01753,0.017773,2.57E+00,-7.60E-03,2.50E-02,3.35E-04,5.68E-05,6.07E-07,0.2932,0.2373,0.584,0.2441,0.234,0.5169,-0.0006,-0.0009,1,1,1,3,94,111,365,84,3.63,A,18
H-F1,603380,1.58705,1.59086,1.59614,1.59874,1.59948,1.60017,1.60328,1.60342,1.60718,1.61462,1.61557,1.62387,1.63194,1.64674,38.01,37.74,0.015875,0.016088,2.51E+00,-9.27E-03,2.19E-02,4.31E-04,1.69E-05,3.42E-06,0.2946,0.2369,0.5828,0.2451,0.2338,0.5161,-0.0003,0.0019,2,1,2,1,79,98,438,103,2.63,MA,16
H-F2,613370,1.5959,1.59987,1.60536,1.60806,1.60883,1.60954,1.61279,1.61293,1.61685,1.62463,1.62562,1.63432,1.64283,1.65859,37,36.73,0.016564,0.016792,2.54E+00,-1.06E-02,2.15E-02,8.77E-04,-4.39E-05,7.54E-06,0.2938,0.2368,0.585,0.2443,0.2336,0.5181,0,0.0023,1,1,1,1,78,94,563,105,2.65,B,19
H-F4,620364,1.60259,1.60667,1.61227,1.61504,1.61582,1.61656,1.6199,1.62005,1.62408,1.6321,1.63312,1.6421,1.65089,,36.35,36.09,0.01706,0.017291,2.56E+00,-1.31E-02,1.81E-02,2.32E-03,-2.65E-04,2.07E-05,0.2938,0.2365,0.5862,0.2443,0.2334,0.5193,0,0.0024,1,1,2,1,76,90,607,128,2.67,MA,9
H-F13,626357,1.60798,1.61212,1.6179,1.62074,1.62155,1.62231,1.62573,1.62588,1.63003,1.63828,1.63933,1.6486,1.65769,1.67432,35.7,35.43,0.017532,0.01778,2.57E+00,-9.28E-03,2.56E-02,-5.72E-05,1.20E-04,-1.73E-06,0.2933,0.2367,0.5888,0.2436,0.2334,0.5215,0.0004,0.0039,1,1,1,1,80,99,586,122,2.69,MA,24
H-F51,640345,,,1.63138,1.63438,1.63522,1.63602,1.63964,1.6398,1.64419,1.65294,1.65406,1.66393,1.67361,,34.46,34.2,0.018564,0.018835,2.63E+00,-2.38E-02,1.35E-02,3.90E-03,-4.14E-04,2.71E-05,0.2919,0.2365,0.592,0.2431,0.2331,0.524,0.0006,0.005,2,1,1,1,84,102,567,127,2.76,B,27
H-BaF2,570495,1.55726,1.56026,1.5643,1.56625,1.56679,1.5673,1.5696,1.5697,1.57244,1.57777,1.57844,1.58424,1.58974,1.59942,49.45,49.12,0.01152,0.011654,2.42E+00,-8.23E-03,1.69E-02,-3.47E-05,5.15E-05,-1.33E-06,0.2995,0.2378,0.5616,0.25,0.2351,0.4976,0,0.0001,1,1,2,1,82,98,484,123,2.82,B,
H-BaF3,580537,1.56778,1.57065,1.57448,1.57631,1.57683,1.57731,1.57947,1.57957,1.58213,1.5871,1.58773,1.59307,1.59806,1.6067,53.71,53.42,0.01079,0.010898,2.45E+00,-8.62E-03,1.53E-02,1.83E-04,1.41E-05,-1.68E-07,0.3021,0.2373,0.5524,0.2514,0.2349,0.4891,0.0003,-0.0019,1,1,1,1,67,84,523,90,3.14,B,34
BaF4,583465,,,1.57687,1.57897,1.57955,1.58011,1.5826,1.58271,1.58569,1.59151,1.59227,1.59862,1.60468,1.61535,46.47,46.07,0.01254,0.012714,2.45E+00,-6.51E-03,1.94E-02,-3.06E-04,1.02E-04,-3.93E-06,0.2986,0.2374,0.5673,0.2485,0.2342,0.4999,-0.0002,0.0007,1,1,1,1,78,91,442,97,3.28,C,24
H-BaF5,606439,1.59106,1.59454,1.59924,1.60153,1.60217,1.60278,1.6055,1.60562,1.6089,1.61533,1.61615,1.62323,1.63002,1.6422,43.88,43.57,0.013803,0.013974,2.52E+00,-1.06E-02,1.80E-02,6.80E-04,-2.35E-05,3.36E-06,0.2963,0.2376,0.5723,0.2469,0.2347,0.5067,0.0002,0.0014,1,1,1,1,82,97,556,168,2.97,B,40
H-BaF6,608462,1.59409,1.59739,1.6019,1.60409,1.60471,1.60529,1.6079,1.60801,1.61114,1.61725,1.61802,1.6247,1.63106,1.64238,46.2,45.92,0.01316,0.01331,2.53E+00,-9.14E-03,1.82E-02,4.65E-04,-9.77E-06,2.47E-06,0.2979,0.2378,0.5661,0.2479,0.2352,0.5019,-0.0001,-0.0009,1,1,2,1,82,94,538,146,3.11,B,31
BaF7,614400,,,1.6071,1.6096,1.61032,1.61098,1.614,1.61413,1.61777,1.62494,1.62586,1.6338,1.64142,1.65512,40.03,39.75,0.01534,0.015542,2.54E+00,-8.69E-03,2.00E-02,8.98E-04,-4.97E-05,5.36E-06,0.2952,0.2373,0.5776,0.2451,0.2342,0.5109,-0.0003,0.0001,1,1,1,1,83,94,416,90,3.56,B,26
H-BaF8,626391,1.6096,1.61339,1.6187,1.62132,1.62206,1.62276,1.6259,1.62604,1.62984,1.63735,1.63829,1.64664,1.65471,1.66941,39.07,38.81,0.016023,0.016229,2.58E+00,-9.09E-03,2.20E-02,5.98E-04,-4.33E-06,4.04E-06,0.2946,0.2372,0.5798,0.2452,0.2341,0.5145,0.0004,0.0006,1,1,2,1,86,113,487,136,2.96,B,34
ZBaF2,640483,,,1.63342,1.63566,1.63627,1.63686,1.6395,1.63962,1.64277,1.64891,1.64969,1.65635,1.66268,1.67382,48.27,47.9,0.01325,0.013418,2.63E+00,-8.73E-03,1.91E-02,4.49E-04,-1.75E-05,2.86E-06,0.2989,0.2376,0.5615,0.2497,0.2346,0.4963,0.0001,-0.002,1,3,1,3,61,75,482,128,3.83,B,25
ZBaF17,668419,1.65116,1.65493,1.66023,1.66284,1.66358,1.66428,1.66741,1.66755,1.67133,1.67876,1.6797,1.68788,1.69574,1.70978,41.93,41.64,0.015921,0.016123,2.71E+00,-8.30E-03,2.37E-02,2.82E-04,3.94E-05,7.18E-07,0.2958,0.2374,0.5728,0.2462,0.2344,0.5074,0.0001,-0.0014,1,3,,,,91,510,175,3.8,C,24
ZBaF51,683445,1.66684,1.67046,1.67563,1.67816,1.67888,1.67955,1.68259,1.68273,1.68637,1.6935,1.6944,1.70225,1.70974,1.72299,44.5,44.23,0.015341,0.015519,2.76E+00,-5.82E-03,2.66E-02,-7.55E-04,1.76E-04,-6.73E-06,0.2978,0.2377,0.5703,0.248,0.2349,0.5057,-0.0008,0.0004,1,3,1,6,,89,464,198,4.14,C,20
H-ZBaF1,622532,1.60954,1.61262,1.61678,1.61877,1.61933,1.61985,1.62219,1.6223,1.62508,1.63047,1.63115,1.63698,1.64245,1.65178,53.17,52.88,0.011704,0.011821,2.58E+00,-7.58E-03,2.02E-02,-8.46E-04,1.78E-04,-9.19E-06,0.3013,0.2381,0.5562,0.251,0.2358,0.4932,0,0.001,1,3,1,4,60,72,562,129,3.57,B,23
H-ZBaF3,657511,1.64308,1.64641,1.65089,1.65306,1.65368,1.65424,1.6568,1.65691,1.65996,1.66591,1.66665,1.67307,1.67911,1.68964,51.12,50.88,0.01285,0.01297,2.69E+00,-1.01E-02,1.86E-02,3.58E-04,6.17E-06,5.76E-07,0.3001,0.2371,0.5569,0.2497,0.2349,0.4948,0.0011,-0.0017,1,3,1,3,75,90,508,170,3.77,A,21
H-ZBaF4,664355,1.64538,1.64968,1.65576,1.65878,1.65964,1.66045,1.6641,1.66426,1.66869,1.6775,1.67862,1.68852,1.69819,1.71608,35.48,35.23,0.01872,0.01898,2.69E+00,-9.84E-03,2.57E-02,8.44E-04,-1.66E-05,6.71E-06,0.2927,0.2366,0.5887,0.2434,0.2334,0.5216,0.0004,0.0034,1,1,1,1,79,95,602,180,3.11,A,34
