,Code,nt,ns,nr,nC,nC',nHeNe,nD,nd,ne,nF,nF',ng,nh,ni,Vd,Ve,nFC,nF'c',A0,A1,A2,A3,A4,A5,PdC,Ped,PgF,P'dC',P'ed,P'gF',dPFe,dPgF,RC,RA,DW,DA,alpha1,alpha2,HK,FA,Density,Frequency,Price
D-LaK5,678549,1.66399,1.66749,1.67201,1.67415,1.67474,1.6753,1.67779,1.6779,1.68084,1.6865,1.6872,1.69323,1.69882,1.70839,54.89,54.63,0.01235,0.012461,2.76E+00,-1.32E-02,1.83E-02,3.01E-04,4.56E-06,-2.05E-09,0.304,0.2381,0.5453,0.2537,0.2359,0.4839,-0.0018,-0.0069,4,4,1,3,73,94,647,139,3.37,B,41
D-LaK6,694531,1.67924,1.68289,1.68764,1.68989,1.69052,1.6911,1.69373,1.69384,1.69696,1.70295,1.70369,1.71009,1.71605,1.72625,53.1,52.9,0.01306,0.01317,2.81E+00,-1.34E-02,1.97E-02,2.49E-04,1.98E-05,-8.03E-07,0.3025,0.2389,0.5466,0.2521,0.2369,0.4859,-0.0063,-0.0087,1,3,1,6,75,95,665,138,3.5,B,42
D-LaK70,669554,1.65543,1.65886,1.66331,1.66542,1.66602,1.66656,1.66899,1.6691,1.67197,1.6775,1.67819,1.68409,1.68956,1.69891,55.39,55.22,0.01208,0.01217,2.73E+00,-1.14E-02,2.03E-02,-4.78E-04,1.10E-04,-5.30E-06,0.3046,0.2376,0.5454,0.2531,0.2358,0.4846,-0.0017,-0.006,1,3,1,6,73,91,660,135,3.35,B,39
D-ZF10,689311,1.66701,1.67192,1.67896,1.68249,1.6835,1.68445,1.68874,1.68893,1.69417,1.70466,1.70601,1.71796,1.72976,1.752,31.08,30.84,0.022168,0.022511,2.76E+00,-1.05E-02,2.99E-02,1.22E-03,-3.92E-05,1.11E-05,0.2906,0.2363,0.6,0.2415,0.2327,0.5309,0.0006,0.0072,3,1,2,1,100,129,589,178,2.84,C,48
D-ZF93,2207,1.95731,1.96671,1.98076,1.98805,1.99017,1.99215,2.00129,2.0017,2.01305,2.03645,2.0395,2.06737,2.09633,,20.7,20.53,0.048391,0.049345,3.80E+00,-2.65E-02,4.81E-02,1.21E-02,-1.49E-03,1.37E-04,0.282,0.2345,0.6391,0.2337,0.23,0.5648,0.0053,0.0286,1,4,1,4,78,94,440,250,6.11,C,370
D-LaF50,774496,1.75725,1.76124,1.76667,1.76931,1.77006,1.77075,1.77386,1.774,1.77771,1.78492,1.78582,1.79357,1.80081,1.8133,49.59,49.31,0.015608,0.015769,3.07E+00,-1.16E-02,2.54E-02,2.21E-04,3.70E-05,-1.22E-06,0.3005,0.2377,0.5542,0.2499,0.2351,0.4915,-0.0006,-0.007,1,4,1,3,73,89,614,110,4.93,A,96
D-LaF050,768493,1.75138,1.75554,1.76106,1.76372,1.76447,1.76516,1.76828,1.76842,1.77213,1.77931,1.78021,1.7879,1.7951,1.8075,49.28,49.06,0.015592,0.01574,3.06E+00,-1.47E-02,2.36E-02,6.71E-04,-2.76E-05,2.13E-06,0.3014,0.2379,0.5509,0.251,0.2357,0.4886,-0.0022,-0.0109,1,3,1,3,57,74,756,104,4.51,A,91
D-LaF53,743493,1.72683,1.73084,1.73619,1.73876,1.73948,1.74016,1.74317,1.7433,1.74689,1.75383,1.7547,1.76214,1.7691,1.78111,49.33,49.07,0.015069,0.015221,2.97E+00,-1.33E-02,2.36E-02,3.19E-04,1.70E-05,-8.97E-08,0.3013,0.2382,0.5516,0.2509,0.2359,0.4889,-0.0022,-0.01,1,3,1,6,56,72,673,101,4.26,A,75
D-LaF79,731405,,,1.72243,1.72542,1.72626,1.72705,1.73061,1.73077,1.73505,1.74346,1.74452,1.75379,1.76267,1.77858,40.51,40.25,0.01804,0.018262,2.92E+00,-1.64E-02,2.46E-02,1.06E-03,-3.32E-05,4.29E-06,0.2966,0.2373,0.5726,0.247,0.2344,0.5076,-0.0014,-0.0041,1,3,1,6,90,111,618,,3.21,C,54
D-LaF82L,735488,1.71834,1.72234,1.72771,1.7303,1.73102,1.7317,1.73472,1.73485,1.73843,1.74537,1.74623,1.75369,1.76068,1.77273,48.77,48.54,0.015068,0.015214,2.94E+00,-1.10E-02,2.69E-02,-7.44E-04,1.63E-04,-7.32E-06,0.302,0.2373,0.5523,0.2518,0.235,0.4901,-0.0022,-0.0104,1,3,1,6,53,70,688,62,4.1,C,84
D-ZLaF50,803455,1.7846,1.78904,1.79513,1.79809,1.79892,1.7997,1.80322,1.80337,1.80756,1.81575,1.81677,1.8256,1.83392,1.84837,45.49,45.25,0.01766,0.017845,3.17E+00,-1.31E-02,2.84E-02,4.14E-04,2.92E-05,-3.27E-07,0.2992,0.2371,0.5577,0.2494,0.2347,0.4948,-0.0012,-0.0105,1,4,1,3,62,75,,104,4.89,A,117
D-ZLaF52LA,810410,1.78939,1.79412,1.80082,1.8041,1.80503,1.8059,1.80982,1.81,1.81469,1.82386,1.82502,1.83511,1.84471,1.86173,40.99,40.75,0.01976,0.01999,3.18E+00,-8.49E-03,3.71E-02,-1.10E-03,2.44E-04,-8.95E-06,0.2986,0.2373,0.5693,0.2486,0.2346,0.5048,-0.0032,-0.0066,1,3,1,6,66,83,662,109,4.56,B,59
D-ZLaF61,821427,1.80067,1.80538,1.81188,1.81507,1.81597,1.81682,1.82063,1.8208,1.82536,1.83432,1.83544,1.8452,1.85445,1.8707,42.66,42.39,0.01924,0.01947,3.23E+00,-1.41E-02,2.90E-02,1.09E-03,-4.61E-05,4.29E-06,0.2976,0.237,0.5655,0.2479,0.2342,0.5009,-0.0009,-0.0075,1,4,2,3,66,85,691,94,4.92,B,114
D-ZLaF67,884372,1.85969,1.86519,1.87298,1.87685,1.87795,1.87898,1.88364,1.88385,1.88948,1.90061,1.90202,1.91434,1.92613,1.94731,37.2,36.95,0.02376,0.02407,3.44E+00,-1.43E-02,3.70E-02,1.31E-03,-2.84E-05,5.77E-06,0.2946,0.237,0.5779,0.2451,0.2339,0.5118,-0.0008,-0.0045,1,3,1,2,67,85,670,97,5.5,A,186
D-ZLaF81,809410,1.78831,1.79302,1.79967,1.80294,1.80385,1.80472,1.80863,1.8088,1.81348,1.82266,1.82383,1.83389,1.84352,1.8605,41,40.71,0.019727,0.01998,3.17E+00,-9.84E-03,3.49E-02,-5.20E-04,1.79E-04,-6.31E-06,0.2973,0.2372,0.5694,0.2476,0.2342,0.5036,-0.0017,-0.0065,1,3,1,6,64,81,668,,4.55,B,58
D-ZLaF85L,854406,1.83192,1.83694,1.84398,1.84746,1.84844,1.84936,1.85351,1.8537,1.85869,1.8685,1.86972,1.88043,1.8906,1.90851,40.58,40.34,0.021038,0.021288,3.33E+00,-1.26E-02,3.46E-02,5.46E-04,4.29E-05,2.51E-07,0.2967,0.2371,0.5674,0.2473,0.2344,0.503,-0.0013,-0.0092,1,3,1,5,63,77,677,104,5.28,A,188
